"CNES";UF;IBGE;"NOME";"LOGRADOURO";"BAIRRO";LATITUDE;LONGITUDE
"0004839";29;292740;"UBS PROF JOSE MARIANE";"AV DORIVAL CAYME";"ITAPOAN";-12,93613;-38,35991
"0004758";29;292740;"UBS DRA CECY DE ANDRADE";"RUA GENARO DE CARVALHO";"CASTELO BRANCO";-12,971;-38,511
"0004804";29;292740;"UBS DR ORLANDO IMBASSAHY";"RUA TANCREDO NEVES";"BAIRRO DA PAZ";-12,93477;-38,38081
"2000326";12;120020;"UNIDADE DE SAUDE DA FAMILIA GEOSETE COELHO MARIANO";"RUA CORONEL CARVALHO";"CRUZEIRINHO";-7,64173;-72,68134
"2000334";12;120020;"UNIDADE DA SAUDE DA FAM FRANCISCO ARY DA SILVEIRA";"RUA SAO PAULO";"CONJUNTO MANCIO LIMA";-7,61587;-72,66948
"0005193";29;292740;"USF URSULA CATHARINO GARCIA";"RUA QUINTINO BOCAIUVA";"GARCIA";-12,99057;-38,50862
"0005223";29;292740;"UBS EUNISIO COELHO TEIXEIRA";"RUA JURUCUTUS";"SABOEIRO";-12,96046;-38,44786
"0005266";29;292740;"USF PARQUE DE PITUACU";"RUA ARAUJO BASTOS";"PITUACU";-12,96857;-38,41644
"0005282";29;292740;"USF CAJAZEIRAS IV";"RUA ALVARO DA FRANCA ROCHA CONJ CAJAZEIRAS IV";"CAJAZEIRAS";-12,89705;-38,42552
"0005347";29;292740;"USF ALTO DO COQUEIRINHO";"PRACA SERGIO BRITO";"ALTO COQUEIRINHO";-12,93789;-38,3736
"0005231";29;292740;"USF DEP CRISTOVAO FERREIRA SARAMANDAIA";"RUA DA HORTA";"SARAMANDAIA";-12,97395;-38,46769
"0005207";29;292740;"USF DOM AVELAR";"RUA DAS PAULINAS";"DOM AVELAR";-12,971;-38,511
"2274450";33;330540;"UNIDADE DE SAUDE DA FAMILIA SAO JOAO";"RUA HEITOR MARQUES CARVALHO";"SAO JOAO";-22,00652;-42,93799
"2311968";15;150746;"UNIDADE DE SAUDE DA FAMILIA DE VILA NOVA";"TRAV PRACA DA BANDEIRA";"CENTRO";-0,84969;-47,92322
"2312018";15;150746;"UNIDADE SAUDE DA FAMILIA DE DEOLANDIA";"VILA DEOLANDIA";"CENTRO";-0,84969;-47,92322
"2325861";22;221130;"PS VALENTIM MORADA NOVA PSF";"AV SANTOS DUMONT";"VALENTIM";-6,40244;-41,73404
"2325926";22;221130;"PS DR LINDOMAR DE MOURA BARBOSA";"CORONEL JOSE INACIO";"NOVO HORIZONTE";-6,41007;-41,74794
"2326000";22;221130;"POSTO DE SAUDE ANGELO JOSE DOS SANTOS";"POVOADO SANTA ROSA";"POVOADO SANTA ROSA";-6,35906;-41,71127
"2404737";22;220290;"UBS FAZENDA DE CIMA";"FAZENDA DE CIMA";"FAZENDA DE CIMA";-10,443;-45,162
"2404745";22;220290;"UBS VEREDA DA PORTA";"VEREDA DA PORTA";"VEREDA DA PORTA";-10,443;-45,162
"2404753";22;220290;"UBS VERMELHAO";"BAIRRO VERMELHAO";"VERMELHAO";-10,443;-45,162
"2404761";22;220290;"UBS AEROPORTO";"AEROPORTO";"AEROPORTO";-10,45213;-45,14138
"2404788";22;220290;"UBS ARATICUM";"ARATICUM";"ARATICUM";-10,443;-45,162
"3090558";25;250933;"UNIDADE BASICA DE SAUDE PSF II";"SITIO GERALDO";"ZONA RURAL";-7,125;-35,767
"0006416";29;292740;"UBS ARENOSO";"RUA DIRETA DO ARENOSO";"ARENOSO";-12,95115;-38,43941
"2425548";23;230840;"SOACOM";"RUA PE CICERO";"CENTRO";;
"0006777";29;292740;"USF JAQUEIRA DO CARNEIRO";"RUA JAQUEIRA DO CARNEIRO";"FAZENDA GRANDE DO RE";-12,94862;-38,47384
"0006890";29;292740;"USF DE BARREIRAS";"RUA FERNANDO PEDREIRA";"BARREIRAS";-12,94347;-38,45716
"0006912";29;292740;"UBS DE CALABETAO";"RUA CLERISTON ANDRADE";"CALABETAO";-12,93116;-38,46618
"0006955";29;292740;"USF DE BEIRA MANGUE";"AV AFRANIO PEIXOTO";"SAO BARTOLOMEU";-12,92291;-38,48234
"0006998";29;292740;"UBS DE ENGOMADEIRA";"RUA DIRETA DA ENGOMADEIRA";"ENGOMADEIRA";-12,95;-38,46044
"0006963";29;292740;"USF ILHA AMARELA";"RUA BOA ESPERANCA";"ILHA AMARELA";-12,9383;-38,48544
"0006769";29;292740;"USF ALTO DE COUTOS";"TRAVESSA DOIS DE JULHO";"ALTO DE COUTOS";-12,53426;-38,30023
"0006858";29;292740;"USF FIAIS";"RUA VOLUNTARIOS DA PATRIA";"SANTA LUZIA DO LOBAT";-12,93273;-38,48848
"0006971";29;292740;"USF ALTO DO CRUZEIRO";"RUA CAMPO DA BOLA";"ALTO DO CRUZEIRO";-12,98076;-38,48868
"0006815";29;292740;"UBS SAO GONCALO";"AVENIDA CARDEAL DA SILVA";"FEDERACAO";-13,00186;-38,5016
"0006866";29;292740;"USF DO ALTO DAS POMBAS";"RUA NOSSA SENHORA DE FATIMA";"FEDERACAO";-13,00113;-38,51379
"0007021";29;292740;"UBS NELSON PIAUHY DOURADO";"RUA ENDEO NASCIMENTO";"AGUAS CLARAS";-12,88626;-38,43112
"0006785";29;292740;"UBS MARECHAL RONDON";"RUA VICENTE CELESTINO PRACA MARECHAL RONDON";"MARECHAL RONDON";-12,91518;-38,4706
"0006793";29;292740;"USF NOSSA SENHORA DE GUADALUPE ALTO DO PERU";"2 TRAVESSA DO ORIENTE";"ALTO DO PERU";-12,93778;-38,48566
"0000639";26;261160;"US 106 CS PROF JOAQUIM CAVALCANTE";"ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS";"TORROES";-8,05296;-34,92863
"0007676";15;150240;"FUNASA CENTRO DE SAUDE DE CASTANHAL";"RUA SENADOR ANTONIO LEMOS";"CENTRO";-1,29505;-47,92447
"0007722";15;150240;"USF MARIA TEREZA GODOT DA SILVA";"RUA AUGUSTO MONTENEGRO";"APEU";-1,297;-47,922
"0007730";15;150240;"USF CASTELO BRANCO";"AGROVILA DE CASTELO BRANCO";"AGROVILA C BRANCO";-1,36414;-47,7381
"0002291";28;280030;"US GERALDO MAGELA DE MENEZES SAO CONRADO";"CENTRAL IV";"SAO CONRADO";-10,97035;-37,09019
"0007749";15;150240;"USF RAIMUNDO BRILHANTE CUNHA";"AGROVILA SANTA TEREZINHA";"AGROVILA STEREZINHA";-1,20024;-48,02546
"0007757";15;150240;"USF BACABAL";"AGROVILA BACABAL";"AGROVILA BACABAL";-1,297;-47,922
"0007765";15;150240;"USF FRANCISCO CORREA";"AGROVILA FRANCISCO CORREA";"AGROVILA F CORREA";-1,297;-47,922
"0007811";15;150240;"USF MACAPAZINHO";"AGROVILA MACAPAZINHO";"AGROVILA MACAPAZINHO";-1,297;-47,922
"0007846";15;150240;"USF SARAH MARTINS";"AV BARAO DO RIO BRANCO";"APEU";-1,2995;-47,98777
"0007889";15;150240;"USF ZIULALIA LEAO LUNA";"AL DAS ACACIAS";"PROPIRA";-1,26988;-47,91315
"0007919";15;150240;"USF CALUCIA";"AGROVILA CALUCIA";"AGROVILA CALUCIA";-1,22955;-47,87308
"0007986";15;150240;"USF 3 DE OUTUBRO";"AGROVILA 3 DE OUTUBRO";"AGROVILA 3DE OUTUBRO";-1,297;-47,922
"0007773";15;150240;"USF JOAO MARINALDO A VIANA";"TV DA FLORESTA";"SAUDADE";-1,31027;-47,93903
"0007781";15;150240;"USF JOSE OLIMPIO DE BRITO";"RUA MARIA GORETH";"IANETAMA";-1,28899;-47,91216
"0007978";15;150240;"POSTO DE SAUDE MARIO NASCIMENTO VENTURA";"AGROVILA PACUQUARA";"AGROVILA PAUQUARA";-1,297;-47,922
"0008095";35;353440;"UBS DARCY ALVES E ROBALINHO";"AVENIDA SAO JOSE";"VIL SAO JOSE";-23,51367;-46,76427
"0008109";35;353440;"UBS SYLVIO JOAO L DE LUCIA";"RUA JOAO FLORENCIO FONTES";"JARDIM ELVIRA";-23,5331;-46,79206
"0008117";35;353440;"UBS MARIA GIRADE CURY";"RUA THEOFILO MUNHOZ VAQUEIRO";"JD NOVO OSASCO";;
"0008125";35;353440;"UBS LUCIANO RODRIGUES COSTA";"PRACA MARIA JOSE DA SILVEIRA";"JAD ROBERTO";-23,533;-46,792
"0008176";35;353440;"UBS NEYDE ALVES DA SILVA";"RUA AMEIXEIRA";"CIDADE DAS FLORES";-23,53188;-46,80686
"0008214";35;353440;"UBS JOSE HILARIO DOS SANTOS";"RUA AMADOR BUENO";"JD PIRATININGA";-23,51845;-46,79453
"0008222";35;353440;"UBS VASCO DA ROCHA LEAO";"RUA JOSE PATROCINIO";"JAD VELOSO";-23,53305;-46,79174
"0008249";35;353440;"UBS ANUNCIATA DE LUCIA";"RUA SAO JORGE";"VIL ISABEL";-23,53583;-46,80385
"0008265";35;353440;"UBS FRANCISCA LIMA DE LIRA";"RUA JUSCELINO KUBITSCHEK DE OLIVEIRA";"PORTAL DOESTE";-23,49213;-46,79167
"0008303";35;353440;"UBS JOSE FRANCISCO REZENDE";"RUA CONCEICAO SIGLIANO";"VIL YOLANDA";-23,52893;-46,79596
"0008346";35;353440;"UBS FRANCISCO DIAS DA SILVA";"RUA MAL EDGAR DE OLIVEIRA";"VIL QUITAUNA";-23,53305;-46,79223
"0008362";35;353440;"UBS RAIMUNDA CAVALCANTE DE SOUZA";"RUA PROFESSORA ADELAIDE ESCOBAR BUENO";"MUNHOZ JR";-23,53297;-46,79199
"0008370";35;353440;"UBS JOSE SABINO FERREIRA";"RUA LUIS GATTI";"JD BARONESA";-23,49731;-46,78573
"0008397";35;353440;"UBS ODUVALDO MAGLIO";"RUA ANSELMO PEDRO DE MEDEIROS";"CAMPESINA";-23,54493;-46,76346
"0008168";35;353440;"UBS MARIA GATTI GIGLIO";"AV DAS FLORES";"JD DAS FLORES";-23,53695;-46,79405
"0008133";35;353440;"UBS VILA MENCK";"R RIBEIRAO PIRES";"VIL MENCK";-23,49718;-46,77212
"0008273";35;353440;"UBS PE GUERRINO RICIOTTI";"RUA SANTO UBALDO";"VIL DOS REMEDIOS";-23,318;-46,4521
"0008400";35;353440;"UBS DR ADAUTO RIBEIRO";"RUA SERRA DO RONCADOR";"JAD TRES MONTANHAS";-23,4797;-46,78318
"0008621";35;354780;"UBS PARQUE DAS NACOES";"PRACA WALDEMAR SOARES";"PARQUE DAS NACOES";-23,664;-46,538
"0008524";35;354780;"UBS PARANAPIACABA";"AVENIDA FFORD";"PARANAPIACABA";-23,664;-46,538
"2160846";31;310390;"CEMADI CENTRO MUNICIPAL DE ATENDIMENTO E DIAG ARAUJOS";"RUA JUIZ DE FORA";"CENTRO";-19,206;-45,341
"0008575";35;354780;"UBS VILA LINDA";"RUA INGA";"VILA LINDA";-23,69219;-46,52022
"0008583";35;354780;"UBS VILA LUCINDA";"RUA CACONDE";"VILA LUCINDA";-23,62524;-46,5155
"0008591";35;354780;"UBS CAMPESTRE";"RUA DAS FIGUEIRAS";"CAMPESTRE";-23,64389;-46,54795
"2491109";42;420380;"UNIDADE BASICA DE SAUDE FELIPE SCHMIDT";"RUA DA COOPERATIVA";"INTERIOR";-26,177;-50,39
"0008672";35;354780;"UBS PARQUE JOAO RAMALHO";"RUA MARAGOGIPE";"PARQUE JOAO RAMALHO";-23,64631;-46,50953
"0008419";35;353440;"UBS LIA BUARQUE DE MACEDO GASPARINI";"AVENIDA CLOVIS ASSAF";"VILA DA CONQUISTA";-23,58021;-46,80317
"2527510";23;230810;"UBS ELIAS PIMENTA DE SOUSA";"RUA GABRIEL IZIDRO";"DISTRITO PALESTINA";-7,28125;-38,46288
"2527537";23;230810;"UBS DR JOSE LEITE MARANHAO";"AVENIDA BRASIL";"COITE";-7,23245;-38,43237
"2527545";23;230810;"UBS PARTEIRA MARIA DAS DORES DE SOUSA";"RUA DO MERCADO";"DISTRITO ANAUA";-7,15155;-38,37355
"0008931";35;354780;"UBS JARDIM ITAPOAN ANA MARIA";"RUA OTAVIO MANGABEIRA";"JARDIM ANA MARIA";-23,62982;-46,49102
"0008958";35;354780;"UBS CENTRO";"RUA CAMPOS SALES";"CENTRO";-23,6583;-46,52403
"0009032";35;354990;"UBS COLONIAL";"RUA JOSE RIBEIRO BASTOS";"COLONIAL";-23,179;-45,887
"0009067";35;354990;"UBS BUQUIRINHA";"RUA JOSE MENDONCA DA COSTA";"BUQUIRINHA";-23,179;-45,887
"0009075";35;354990;"UBS CHACARAS REUNIDAS";"PRACA CARIRI";"CHACARAS REUNIDAS";-23,179;-45,887
"0009156";35;354990;"UBS VILA NAIR";"RUA SUECIA";"VILA LETONIA";-23,2112;-45,88548
"0009199";35;354990;"UBS JARDIM NOVA DETROIT";"RUA JOSE PEDRO";"JARDIM NOVA DETROIT";-23,16943;-45,81389
"0009229";35;354990;"UBS JARDIM ORIENTE";"RUA SENJU OTA";"JARDIM ORIENTE";-23,179;-45,887
"0009180";35;354990;"UBS BONSUCESSO";"ESTRADA DO BONSUCESSO";"BONSUCESSO";-23,179;-45,887
"0009040";35;354990;"UBS NOVO HORIZONTE";"AVENIDA TANCREDO NEVES";"PQ NOVO HORIZONTE";-23,179;-45,887
"0001694";26;261160;"NEFROCLINICA LTDA";"RUA ESTADO DE ISRAEL";"ILHA DO LEITE";-8,06268;-34,89315
"0009059";35;354990;"UBS VILA TESOURO";"PRACA ASSIS CHATEAUBRIAND";"VILA TESOURO";-23,179;-45,887
"0009377";35;354990;"UBS VILA INDUSTRIAL E TATETUBA";"RUA MIZAEL MARCAL";"VILA TATETUBA";-23,179;-45,887
"0009466";35;354990;"UBS PARAISO DO SOL";"RUA DR JOAO GOMES BATISTA NETO";"PARAISO DO SOL";-23,179;-45,887
"0009474";35;354990;"UBS PARQUE INTERLAGOS";"RUA IBIRAJARA RAIMUNDO DE SOUZA";"PARQUE INTERLAGOS";-23,179;-45,887
"0009504";35;354990;"UBS SAO JUDAS TADEU";"AVENIDA SAO NICOLAU";"SAO JUDAS TADEU";-23,179;-45,887
"0010189";50;500270;"SESAU UBS DR NICOLAU FRAGELLI LAR DO TRABALHADOR";"RUA DOS NARCISOS";"LAR DO TRABALHADOR";-20,45164;-54,64448
"0010170";50;500270;"SESAU UBS DR VESPASIANO BARBOSA MARTINS VILA POPULAR";"RUA DALILA SIQUEIRA";"VILA POPULAR";-20,45282;-54,70452
"0010197";50;500270;"SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO";"RUA DELMIRO GOUVEIA";"VILA SERRADINHO";-20,45873;-54,68441
"0043737";35;351100;"UNIDADE BASICA DE SAUDE GENERCINA VIEIRA S SAKAKIBARA";"LINHA JUPIA";"REASSENTAMENTO PROJE";-20,872;-51,488
"0010294";50;500270;"SESAU USF DR ELIAS NASSER NETO JOSE ABRAO";"RUA ANTONIO LOPES";"JOSE ABRAO";-20,41743;-54,66126
"0010316";50;500270;"SESAU USF DR VICENTE FRAGELLI CIDADE MORENA";"RUA JAGUARIUNA";"CIDADE MORENA";-20,55083;-54,58871
"0010332";50;500270;"SESAU USF SAO FRANCISCO";"RUA IDA BAIS";"NOVA LIMA";-20,38455;-54,55935
"0010340";50;500270;"SESAU USF DR WALFRIDO AZAMBUJA ALVES PEREIRA";"RUA FILOMENA SEGUNDO NASCIMENTO";"JARDIM MONUMENTO";-20,52701;-54,60255
"0010367";50;500270;"SESAU UBS DR CELSO LACERDA DE AZEVEDO PIONEIRA";"RUA ANA LUIZA DE SOUZA";"PIONEIRA";-20,51518;-54,60938
"0010413";50;500270;"SESAU USF DR SONI LYDIA SOUZA WOLF MACAUBAS";"AVENIDA DOS CAFEZAIS";"JARDIM MACAUBAS";-20,54298;-54,60427
"0010200";50;500270;"SESAU USF DR HIROSE ADANIA BONANCA";"RUA JARDIM SANTO INACIO";"BONANCA";-20,49373;-54,66118
"0010219";50;500270;"SESAU USF MANOEL SECCO THOME INDUBRASIL";"RUA JI PARANA";"INDUSTRIAL";-20,46402;-54,61629
"0010235";50;500270;"SESAU USF DR MILTON KOJO CHINEN VILA NASSER";"RUA ANTONIO DE MORAES RIBEIRO";"VILA NASSER";-20,41635;-54,63155
"0010308";50;500270;"SESAU USF DR JORGE DAVID NASSER JOCKEY CLUB";"RUA DO HIPODROMO";"JOCKEY CLUB";-20,49495;-54,62368
"0010723";53;530010;"UBS 2 ASA NORTE";"EQN 114 115";"ASA NORTE";-15,74291;-47,89151
"0011215";53;530010;"UBS 1 BRAZLANDIA";"ENTRE QUADRA 6 8 AREA ESPECIAL 3 SETOR NORTE";"SETOR NORTE";-15,67718;-48,195
"0010774";53;530010;"UBS 02 SAMAMBAIA";"QS 611 AREA ESPECIAL";"SAMAMBAIA NORTE";-15,87555;-48,10977
"0008990";35;354990;"UBS SANTANA";"AVENIDA RUI BARBOSA";"SANTANA";-23,14942;-45,90462
"0011150";53;530010;"UBS 1 ASA SUL";"SGAS QUADRA 612 LOTES";"ASA SUL";-15,83281;-47,90929
"0011029";53;530010;"UBS 6 CEILANDIA";"EQNP 10 14 LOTES E F G H";"CEILANDIA";-15,84013;-48,11434
"0011037";53;530010;"UBS 7 CEILANDIA";"QNO 10 AREA ESPECIAL D E";"SETOR O";-15,79593;-48,1318
"0011045";53;530010;"UBS 8 CEILANDIA";"EQNP 13 17 LOTES A B C D P NORTE";"CEILANDIA NORTE";-15,80708;-48,13003
"0011355";53;530010;"UBS 3 ASA NORTE VILA PLANALTO";"RUA PIAU ACAMPAMENTO PACHECO FERNANDES";"VILA PLANALTO";-15,79482;-47,84828
"0011363";53;530010;"UBS 5 NOVA BETANIA SAO SEBASTIAO";"DF 140 KM 7 5";"SAO SEBASTIAO";-15,99092;-47,81321
"0011495";53;530010;"UBS 6 ALMECEGAS BRAZLANDIA";"FAZENDA ALMECEGAS BR DF 180 DF 205 KM 05";"BRAZLANDIA";-15,53884;-48,1685
"0011657";53;530010;"UBS 04 GUARA";"EQ 02 03 CONJUNTO LUCIO COSTA";"GUARA I";-15,80767;-47,98825
"0011754";32;320530;"SERVICO DE ORIENTACAO AO EXERCICIO SOE";"AV MAC MASCARENHAS DE MORAES";"FORTE SAO JOAO";-20,31734;-40,32338
"0011789";32;320530;"UNIDADE BASICA DE SAUDE SANTO ANTONIO";"RUA ERNESTO BASSINI";"SANTO ANTONIO";-20,31085;-40,3509
"0011916";32;320530;"UNIDADE BASICA DE SAUDE ILHA DO PRINCIPE";"RUA FENELON GOMES";"ILHA DO PRINCIPE";-20,32217;-40,34958
"0011924";32;320530;"UNIDADE BASICA DE SAUDE JABOUR DR CARLITO VON SCHILGEN";"RUA ENGENHEIRO CESAR DANTAS";"JABOUR";-20,26023;-40,29476
